Ano,Disciplina,Bimestre,Media,Mediana
2013,cien,1,8.08,8.5
2013,cien,2,8.11,8.0
2013,cien,3,8.21,9.0
2013,cien,4,8.16,8.5
2013,hist,1,9.11,9.0
2013,hist,2,9.61,10.0
2013,hist,3,9.42,9.5
2013,hist,4,9.32,9.5
2013,ingl,1,8.39,8.5
2013,ingl,2,8.97,9.0
2013,ingl,3,7.79,8.0
2013,ingl,4,9.29,9.5
2013,port,1,8.53,8.5
2013,port,2,8.55,8.5
2013,port,3,7.66,8.0
2013,port,4,9.08,9.0
2013,reli,1,8.79,9.0
2013,reli,2,9.0,9.0
2013,reli,3,8.74,9.0
2013,reli,4,8.74,9.0
2013,edfi,1,9.34,9.5
2013,edfi,2,8.71,9.0
2013,edfi,3,8.55,9.0
2013,edfi,4,9.11,9.5
2013,mate,1,7.76,8.0
2013,mate,2,7.66,7.5
2013,mate,3,7.92,8.0
2013,mate,4,8.37,9.0
2013,geog,1,9.53,10.0
2013,geog,2,9.66,10.0
2013,geog,3,9.16,9.5
2013,geog,4,9.39,9.5
2013,arte,1,9.79,10.0
2013,arte,2,9.18,9.5
2013,arte,3,9.16,9.5
2013,arte,4,9.32,9.5
2014,cien,1,7.81,7.25
2014,cien,2,7.72,7.75
2014,cien,3,7.69,7.5
2014,cien,4,7.62,7.0
2014,hist,1,8.84,9.0
2014,hist,2,8.59,9.0
2014,hist,3,8.97,9.0
2014,hist,4,8.06,8.0
2014,ingl,1,8.31,8.0
2014,ingl,2,8.41,8.5
2014,ingl,3,7.88,7.75
2014,ingl,4,8.0,8.0
2014,port,1,7.81,8.0
2014,port,2,7.91,8.0
2014,port,3,7.53,7.5
2014,port,4,7.78,8.0
2014,reli,1,8.5,9.0
2014,reli,2,7.94,8.0
2014,reli,3,8.53,8.5
2014,reli,4,8.41,8.5
2014,edfi,1,8.81,9.0
2014,edfi,2,8.25,8.25
2014,edfi,3,8.47,9.5
2014,edfi,4,9.06,9.75
2014,mate,1,7.59,8.0
2014,mate,2,7.97,8.25
2014,mate,3,8.03,8.5
2014,mate,4,8.62,9.25
2014,geog,1,8.66,9.0
2014,geog,2,8.34,8.5
2014,geog,3,8.38,8.5
2014,geog,4,8.56,8.5
2014,arte,1,8.91,9.0
2014,arte,2,8.66,9.0
2014,arte,3,8.75,8.5
2014,arte,4,8.41,8.0
2015,cien,1,7.86,8.0
2015,cien,2,7.95,7.5
2015,cien,3,8.05,8.0
2015,cien,4,8.66,8.75
2015,hist,1,8.68,9.0
2015,hist,2,8.86,9.0
2015,hist,3,8.09,8.0
2015,hist,4,8.0,8.0
2015,ingl,1,8.95,9.0
2015,ingl,2,8.64,9.0
2015,ingl,3,8.32,8.0
2015,ingl,4,7.32,7.0
2015,port,1,8.0,7.5
2015,port,2,8.98,9.0
2015,port,3,8.16,8.0
2015,port,4,8.0,8.0
2015,reli,1,8.18,8.0
2015,reli,2,9.91,10.0
2015,reli,3,9.77,10.0
2015,reli,4,9.95,10.0
2015,edfi,1,9.5,10.0
2015,edfi,2,9.09,9.5
2015,edfi,3,8.41,8.0
2015,edfi,4,7.55,7.0
2015,mate,1,8.77,8.75
2015,mate,2,8.64,9.0
2015,mate,3,8.16,7.75
2015,mate,4,8.32,8.25
2015,geog,1,8.68,9.0
2015,geog,2,8.91,9.0
2015,geog,3,8.5,9.0
2015,geog,4,9.64,10.0
2015,arte,1,9.41,9.0
2015,arte,2,9.45,10.0
2015,arte,3,8.95,9.0
2015,arte,4,9.18,9.0
2016,cien,1,7.42,7.0
2016,cien,2,7.52,7.75
2016,cien,3,7.72,7.75
2016,cien,4,8.07,8.0
2016,hist,1,7.7,7.0
2016,hist,2,7.3,7.0
2016,hist,3,6.9,6.0
2016,hist,4,7.35,7.0
2016,ingl,1,8.5,8.0
2016,ingl,2,8.05,8.0
2016,ingl,3,8.1,8.0
2016,ingl,4,7.8,7.0
2016,port,1,8.0,8.0
2016,port,2,7.7,7.5
2016,port,3,7.0,6.5
2016,port,4,7.75,6.75
2016,reli,1,9.68,10.0
2016,reli,2,9.45,10.0
2016,reli,3,9.78,10.0
2016,reli,4,9.88,10.0
2016,edfi,1,7.15,7.0
2016,edfi,2,8.05,8.0
2016,edfi,3,7.55,7.0
2016,edfi,4,7.55,7.0
2016,mate,1,7.35,7.0
2016,mate,2,7.32,7.0
2016,mate,3,7.15,6.75
2016,mate,4,8.2,8.25
2016,geog,1,7.2,7.0
2016,geog,2,7.3,7.0
2016,geog,3,7.55,7.0
2016,geog,4,7.45,7.0
2016,arte,1,9.05,9.0
2016,arte,2,8.78,9.0
2016,arte,3,9.55,9.75
2016,arte,4,9.7,9.75
2017,cien,1,7.08,7.0
2017,cien,2,7.42,7.75
2017,cien,3,7.6,8.25
2017,cien,4,7.95,8.0
2017,hist,1,7.2,6.0
2017,hist,2,8.15,9.0
2017,hist,3,7.6,7.0
2017,hist,4,7.85,8.0
2017,ingl,1,8.05,8.0
2017,ingl,2,8.0,8.0
2017,ingl,3,7.72,7.75
2017,ingl,4,8.05,9.0
2017,port,1,7.95,8.5
2017,port,2,8.0,8.75
2017,port,3,8.35,9.5
2017,port,4,8.5,10.0
2017,reli,1,8.15,9.0
2017,reli,2,8.07,9.0
2017,reli,3,8.32,9.5
2017,reli,4,8.32,9.5
2017,edfi,1,7.85,7.5
2017,edfi,2,8.0,8.0
2017,edfi,3,8.0,8.0
2017,edfi,4,8.3,8.0
2017,mate,1,7.55,7.5
2017,mate,2,7.6,7.5
2017,mate,3,7.9,8.0
2017,mate,4,8.2,9.0
2017,geog,1,7.6,7.0
2017,geog,2,7.55,7.0
2017,geog,3,7.9,8.0
2017,geog,4,8.25,8.0
2017,arte,1,8.35,9.0
2017,arte,2,8.0,8.5
2017,arte,3,8.15,9.25
2017,arte,4,8.32,9.5
2018,cien,1,7.14,7.5
2018,cien,2,6.93,7.0
2018,cien,3,7.14,7.0
2018,cien,4,7.19,7.0
2018,hist,1,8.05,8.0
2018,hist,2,7.62,8.0
2018,hist,3,7.4,7.5
2018,hist,4,8.1,8.5
2018,ingl,1,7.36,7.0
2018,ingl,2,7.02,7.5
2018,ingl,3,7.14,7.0
2018,ingl,4,7.5,8.0
2018,port,1,7.52,7.5
2018,port,2,7.64,8.0
2018,port,3,7.31,7.5
2018,port,4,7.93,8.0
2018,reli,1,8.02,8.0
2018,reli,2,7.88,8.5
2018,reli,3,7.98,8.5
2018,reli,4,8.19,9.0
2018,edfi,1,7.9,8.0
2018,edfi,2,7.79,8.0
2018,edfi,3,8.12,8.0
2018,edfi,4,8.14,8.0
2018,mate,1,7.26,7.5
2018,mate,2,7.31,7.0
2018,mate,3,7.45,7.5
2018,mate,4,7.71,8.0
2018,geog,1,7.62,7.0
2018,geog,2,7.71,7.5
2018,geog,3,7.52,7.5
