Ano,Disciplina,Bimestre,Media,Mediana
2013,port,1,8.526315789473685,8.5
2013,port,2,8.552631578947368,8.5
2013,port,3,7.657894736842105,8.0
2013,port,4,9.078947368421053,9.0
2013,mate,1,7.7631578947368425,8.0
2013,mate,2,7.657894736842105,7.5
2013,mate,3,7.921052631578948,8.0
2013,mate,4,8.368421052631579,9.0
2013,arte,1,9.789473684210526,10.0
2013,arte,2,9.18421052631579,9.5
2013,arte,3,9.157894736842104,9.5
2013,arte,4,9.31578947368421,9.5
2013,reli,1,8.789473684210526,9.0
2013,reli,2,9.0,9.0
2013,reli,3,8.736842105263158,9.0
2013,reli,4,8.736842105263158,9.0
2013,ingl,1,8.394736842105264,8.5
2013,ingl,2,8.973684210526315,9.0
2013,ingl,3,7.7894736842105265,8.0
2013,ingl,4,9.289473684210526,9.5
2013,hist,1,9.105263157894736,9.0
2013,hist,2,9.605263157894736,10.0
2013,hist,3,9.421052631578947,9.5
2013,hist,4,9.31578947368421,9.5
2013,cien,1,8.078947368421053,8.5
2013,cien,2,8.105263157894736,8.0
2013,cien,3,8.210526315789474,9.0
2013,cien,4,8.157894736842104,8.5
2013,edfi,1,9.342105263157896,9.5
2013,edfi,2,8.710526315789474,9.0
2013,edfi,3,8.552631578947368,9.0
2013,edfi,4,9.105263157894736,9.5
2013,geog,1,9.526315789473685,10.0
2013,geog,2,9.657894736842104,10.0
2013,geog,3,9.157894736842104,9.5
2013,geog,4,9.394736842105264,9.5
2014,port,1,7.8125,8.0
2014,port,2,7.90625,8.0
2014,port,3,7.53125,7.5
2014,port,4,7.78125,8.0
2014,mate,1,7.59375,8.0
2014,mate,2,7.96875,8.25
2014,mate,3,8.03125,8.5
2014,mate,4,8.625,9.25
2014,arte,1,8.90625,9.0
2014,arte,2,8.65625,9.0
2014,arte,3,8.75,8.5
2014,arte,4,8.40625,8.0
2014,reli,1,8.5,9.0
2014,reli,2,7.9375,8.0
2014,reli,3,8.53125,8.5
2014,reli,4,8.40625,8.5
2014,ingl,1,8.3125,8.0
2014,ingl,2,8.40625,8.5
2014,ingl,3,7.875,7.75
2014,ingl,4,8.0,8.0
2014,hist,1,8.84375,9.0
2014,hist,2,8.59375,9.0
2014,hist,3,8.96875,9.0
2014,hist,4,8.0625,8.0
2014,cien,1,7.8125,7.25
2014,cien,2,7.71875,7.75
2014,cien,3,7.6875,7.5
2014,cien,4,7.625,7.0
2014,edfi,1,8.8125,9.0
2014,edfi,2,8.25,8.25
2014,edfi,3,8.46875,9.5
2014,edfi,4,9.0625,9.75
2014,geog,1,8.65625,9.0
2014,geog,2,8.34375,8.5
2014,geog,3,8.375,8.5
2014,geog,4,8.5625,8.5
2015,port,1,8.0,7.5
2015,port,2,8.977272727272727,9.0
2015,port,3,8.159090909090908,8.0
2015,port,4,8.0,8.0
2015,mate,1,8.772727272727273,8.75
2015,mate,2,8.636363636363637,9.0
2015,mate,3,8.159090909090908,7.75
2015,mate,4,8.318181818181818,8.25
2015,arte,1,9.409090909090908,9.0
2015,arte,2,9.454545454545455,10.0
2015,arte,3,8.954545454545455,9.0
2015,arte,4,9.181818181818182,9.0
2015,reli,1,8.181818181818182,8.0
2015,reli,2,9.909090909090908,10.0
2015,reli,3,9.772727272727273,10.0
2015,reli,4,9.954545454545455,10.0
2015,ingl,1,8.954545454545455,9.0
2015,ingl,2,8.636363636363637,9.0
2015,ingl,3,8.318181818181818,8.0
2015,ingl,4,7.318181818181818,7.0
2015,hist,1,8.681818181818182,9.0
2015,hist,2,8.863636363636363,9.0
2015,hist,3,8.090909090909092,8.0
2015,hist,4,8.0,8.0
2015,cien,1,7.863636363636363,8.0
2015,cien,2,7.954545454545454,7.5
2015,cien,3,8.045454545454545,8.0
2015,cien,4,8.659090909090908,8.75
2015,edfi,1,9.5,10.0
2015,edfi,2,9.090909090909092,9.5
2015,edfi,3,8.409090909090908,8.0
2015,edfi,4,7.545454545454546,7.0
2015,geog,1,8.681818181818182,9.0
2015,geog,2,8.909090909090908,9.0
2015,geog,3,8.5,9.0
2015,geog,4,9.636363636363637,10.0
2016,port,1,8.0,8.0
2016,port,2,7.7,7.5
2016,port,3,7.0,6.5
2016,port,4,7.75,6.75
2016,mate,1,7.35,7.0
2016,mate,2,7.325,7.0
2016,mate,3,7.15,6.75
2016,mate,4,8.2,8.25
2016,arte,1,9.05,9.0
2016,arte,2,8.775,9.0
2016,arte,3,9.55,9.75
2016,arte,4,9.7,9.75
2016,reli,1,9.675,10.0
2016,reli,2,9.45,10.0
2016,reli,3,9.775,10.0
2016,reli,4,9.875,10.0
2016,ingl,1,8.5,8.0
2016,ingl,2,8.05,8.0
2016,ingl,3,8.1,8.0
2016,ingl,4,7.8,7.0
2016,hist,1,7.7,7.0
2016,hist,2,7.3,7.0
2016,hist,3,6.9,6.0
2016,hist,4,7.35,7.0
2016,cien,1,7.425,7.0
2016,cien,2,7.525,7.75
2016,cien,3,7.725,7.75
2016,cien,4,8.075,8.0
2016,edfi,1,7.15,7.0
2016,edfi,2,8.05,8.0
2016,edfi,3,7.55,7.0
2016,edfi,4,7.55,7.0
2016,geog,1,7.2,7.0
2016,geog,2,7.3,7.0
2016,geog,3,7.55,7.0
2016,geog,4,7.45,7.0
2017,port,1,7.95,8.5
2017,port,2,8.0,8.75
2017,port,3,8.35,9.5
2017,port,4,8.5,10.0
2017,mate,1,7.55,7.5
2017,mate,2,7.6,7.5
2017,mate,3,7.9,8.0
2017,mate,4,8.2,9.0
2017,arte,1,8.35,9.0
2017,arte,2,8.0,8.5
2017,arte,3,8.15,9.25
2017,arte,4,8.325,9.5
2017,reli,1,8.15,9.0
2017,reli,2,8.075,9.0
2017,reli,3,8.325,9.5
2017,reli,4,8.325,9.5
2017,ingl,1,8.05,8.0
2017,ingl,2,8.0,8.0
2017,ingl,3,7.725,7.75
2017,ingl,4,8.05,9.0
2017,hist,1,7.2,6.0
2017,hist,2,8.15,9.0
2017,hist,3,7.6,7.0
2017,hist,4,7.85,8.0
2017,cien,1,7.075,7.0
2017,cien,2,7.425,7.75
2017,cien,3,7.6,8.25
2017,cien,4,7.95,8.0
2017,edfi,1,7.85,7.5
2017,edfi,2,8.0,8.0
2017,edfi,3,8.0,8.0
2017,edfi,4,8.3,8.0
2017,geog,1,7.6,7.0
2017,geog,2,7.55,7.0
2017,geog,3,7.9,8.0
2017,geog,4,8.25,8.0
2018,port,1,7.523809523809524,7.5
2018,port,2,7.642857142857143,8.0
2018,port,3,7.309523809523809,7.5
2018,port,4,7.928571428571429,8.0
2018,mate,1,7.261904761904762,7.5
2018,mate,2,7.309523809523809,7.0
2018,mate,3,7.4523809523809526,7.5
2018,mate,4,7.714285714285714,8.0
2018,arte,1,7.809523809523809,8.0
2018,arte,2,7.738095238095238,8.0
2018,arte,3,7.666666666666667,8.5
2018,arte,4,8.142857142857142,8.5
2018,reli,1,8.023809523809524,8.0
2018,reli,2,7.880952380952381,8.5
2018,reli,3,7.976190476190476,8.5
2018,reli,4,8.19047619047619,9.0
2018,ingl,1,7.357142857142857,7.0
2018,ingl,2,7.023809523809524,7.5
2018,ingl,3,7.142857142857143,7.0
2018,ingl,4,7.5,8.0
